transaction_type,transaction_amount,timestamp,source_account,destination_account,transaction_mode,balance_before,currency,transaction_frequency,average_transaction_value,device_type,region,balance_after,fraud_flag
DEBIT,4636.62,1/1/2023 0:56,Merchant,Merchant,Mobile,9734.13,EUR,35,1924.79,PC,USA,5097.51,0
CASH_OUT,1180.86,1/1/2023 0:57,Personal,Merchant,Online,2017.8,INR,34,882.58,Tablet,India,836.94,0
DEBIT,2002.59,1/1/2023 0:58,Business,Merchant,Mobile,3523.7,INR,27,1049.73,PC,UK,1521.11,0
CASH_OUT,770.56,1/1/2023 0:59,Personal,Personal,Bank Transfer,3642.63,INR,10,336.35,Tablet,UK,2872.07,1
CASH_OUT,4962.49,1/1/2023 1:00,Merchant,Merchant,Online,183.67,USD,30,1124.51,Tablet,Australia,0,0
DEBIT,4635.73,1/1/2023 1:01,Personal,Business,Mobile,8408.16,USD,45,332.08,Mobile,UK,3772.43,0
CREDIT,2704.39,1/1/2023 1:02,Merchant,Merchant,Mobile,416.75,USD,20,1241.87,Tablet,Australia,0,0
CASH_OUT,4211.75,1/1/2023 1:03,Business,Personal,POS,9407.78,KES,29,1869.85,Tablet,Germany,5196.03,0
CASH_OUT,2609.58,1/1/2023 1:04,Personal,Business,Bank Transfer,8931.54,EUR,29,431.61,PC,USA,6321.96,0
DEBIT,3121.69,1/1/2023 1:05,Business,Merchant,POS,5401.67,USD,23,1540.9,PC,India,2279.98,0
CASH_OUT,454.73,1/1/2023 1:06,Merchant,Business,Online,5481.6,INR,21,95.83,Mobile,India,5026.87,0
CASH_OUT,3778.8,1/1/2023 1:07,Merchant,Business,POS,6572.4,INR,48,782.22,Tablet,UK,2793.6,0
DEBIT,647.29,1/1/2023 1:08,Business,Personal,Bank Transfer,3931.8,INR,43,265.96,PC,Canada,3284.51,0
DEBIT,4132.08,1/1/2023 1:09,Personal,Business,ATM,6507.5,INR,10,737.33,Tablet,Germany,2375.42,0
TRANSFER,3912.32,1/1/2023 1:10,Personal,Business,ATM,543.21,GBP,41,388.4,Mobile,Australia,0,0
CREDIT,3546.64,1/1/2023 1:11,Merchant,Personal,Online,635.07,KES,12,777.94,PC,Germany,0,0
CREDIT,190.44,1/1/2023 1:12,Business,Personal,ATM,4626.58,EUR,30,864.17,PC,UK,4436.14,0
CASH_OUT,1522.61,1/1/2023 1:13,Business,Personal,POS,5541.26,EUR,33,636.15,Mobile,Australia,4018.65,0
CREDIT,1322.93,1/1/2023 1:14,Personal,Business,Online,8889.39,USD,18,1330.41,Tablet,Australia,7566.46,0
CASH_OUT,1807.08,1/1/2023 1:15,Personal,Business,Bank Transfer,1136.14,GBP,14,1841.76,PC,UK,0,0
TRANSFER,447.34,1/1/2023 1:16,Personal,Business,Online,8244.21,EUR,22,831.16,PC,USA,7796.87,0
DEBIT,4685.42,1/1/2023 1:17,Business,Personal,Online,2179.47,KES,21,425.07,Mobile,Canada,0,0
DEBIT,2773.47,1/1/2023 1:18,Personal,Merchant,Mobile,4001.43,INR,1,577.91,Mobile,Germany,1227.96,0
DEBIT,1534.57,1/1/2023 1:19,Personal,Business,Mobile,3234.36,USD,49,1715.3,Mobile,India,1699.79,0
CREDIT,1990.94,1/1/2023 1:20,Merchant,Merchant,Online,4061.54,KES,43,1164.7,Tablet,UK,2070.6,0
TRANSFER,2241.54,1/1/2023 1:21,Personal,Personal,ATM,1589.91,EUR,15,937.27,Tablet,USA,0,0
CREDIT,3006.97,1/1/2023 1:22,Personal,Business,Mobile,5085.34,GBP,36,341.79,Tablet,India,2078.37,0
CREDIT,2583.24,1/1/2023 1:23,Business,Merchant,Bank Transfer,8036.26,USD,47,926.97,Mobile,Germany,5453.02,0
TRANSFER,4597.77,1/1/2023 1:24,Business,Business,POS,4471.19,EUR,22,593.06,PC,UK,0,0
TRANSFER,2489.85,1/1/2023 1:25,Merchant,Business,Mobile,4957.07,USD,32,1889.17,Tablet,Australia,2467.22,0
TRANSFER,4960.87,1/1/2023 1:26,Personal,Business,Online,8502.8,EUR,46,1773.94,Mobile,Canada,3541.93,0
TRANSFER,4258.61,1/1/2023 1:27,Merchant,Merchant,ATM,7089.98,INR,33,213.61,Tablet,UK,2831.37,0
DEBIT,1050.47,1/1/2023 1:28,Business,Personal,POS,4955.5,GBP,41,1057.47,PC,Canada,3905.03,0
PAYMENT,4653.67,1/1/2023 1:29,Merchant,Business,Mobile,2651.19,INR,39,488.86,PC,USA,0,0
PAYMENT,590.67,1/1/2023 1:30,Business,Personal,ATM,8860.77,EUR,23,851.02,Mobile,USA,8270.1,0
TRANSFER,4089.07,1/1/2023 1:31,Merchant,Personal,ATM,5812.5,KES,43,1759.85,PC,Germany,1723.43,0
PAYMENT,1909.31,1/1/2023 1:32,Merchant,Merchant,ATM,2289.36,INR,2,1078.65,Mobile,Canada,380.05,0
PAYMENT,4391.09,1/1/2023 1:33,Personal,Merchant,Online,2764.29,KES,2,701.72,Mobile,UK,0,0
TRANSFER,4341.6,1/1/2023 1:34,Merchant,Personal,Bank Transfer,8051.02,EUR,38,455.38,Mobile,USA,3709.42,0
PAYMENT,4031.57,1/1/2023 1:35,Personal,Business,ATM,537.04,GBP,29,1610.63,Mobile,UK,0,0
CREDIT,3952.25,1/1/2023 1:36,Personal,Merchant,POS,9921.71,KES,46,1267.81,PC,Germany,5969.46,0
CASH_OUT,1530.35,1/1/2023 1:37,Personal,Business,Mobile,1390.48,EUR,3,962.73,PC,Canada,0,0
CASH_OUT,413.79,1/1/2023 1:38,Personal,Business,POS,7981.08,KES,39,474.09,PC,UK,7567.29,0
TRANSFER,2020.87,1/1/2023 1:39,Merchant,Business,Online,4008.28,INR,7,701.78,PC,India,1987.41,0
DEBIT,875.89,1/1/2023 1:40,Business,Personal,Online,4972.94,EUR,36,1921.69,Mobile,UK,4097.05,0
TRANSFER,3477.81,1/1/2023 1:41,Business,Business,POS,8818.44,INR,29,1064.18,Mobile,Kenya,5340.63,0
DEBIT,1737.04,1/1/2023 1:42,Business,Personal,Bank Transfer,4187.82,USD,37,831.36,PC,Kenya,2450.78,0
CASH_OUT,4878.29,1/1/2023 1:43,Merchant,Personal,Online,5421.19,EUR,49,1066.77,Tablet,Australia,542.9,0
TRANSFER,3208.45,1/1/2023 1:44,Personal,Business,Online,588.07,KES,36,1569.03,Tablet,Germany,0,0
CREDIT,4114.18,1/1/2023 1:45,Business,Business,POS,123.24,USD,23,713.21,Tablet,Germany,0,0
PAYMENT,671.3,1/1/2023 1:46,Merchant,Business,Online,2523.52,INR,45,398.48,PC,Germany,1852.22,0
DEBIT,4311.45,1/1/2023 1:47,Personal,Business,Bank Transfer,6837.77,INR,16,1190.63,Mobile,India,2526.32,0
PAYMENT,4614.56,1/1/2023 1:48,Business,Personal,Bank Transfer,1300.52,KES,48,1347.15,Mobile,Canada,0,0
PAYMENT,2440.44,1/1/2023 1:49,Personal,Business,Bank Transfer,1226.24,USD,31,1439.8,Tablet,India,0,0
TRANSFER,3035.2,1/1/2023 1:50,Business,Business,Mobile,4168.51,GBP,34,1769.88,Tablet,Australia,1133.31,0
PAYMENT,3826.4,1/1/2023 1:51,Business,Personal,Bank Transfer,6513.59,KES,1,773.79,Mobile,UK,2687.19,0
CREDIT,882.44,1/1/2023 1:52,Business,Merchant,Bank Transfer,7149.51,INR,18,196.94,Tablet,USA,6267.07,0
PAYMENT,2517.8,1/1/2023 1:53,Personal,Merchant,Mobile,1866.66,EUR,40,1918.78,Tablet,Canada,0,0
TRANSFER,1999.33,1/1/2023 1:54,Merchant,Personal,ATM,887.92,USD,43,898.27,Mobile,Kenya,0,0
CREDIT,740.41,1/1/2023 1:55,Personal,Merchant,Online,9409.93,GBP,15,1265.35,Tablet,Kenya,8669.52,0
CASH_OUT,1844,1/1/2023 1:56,Business,Personal,Bank Transfer,2680.6,EUR,48,1349.3,Tablet,Australia,836.6,0
PAYMENT,350.18,1/1/2023 1:57,Personal,Business,Online,8548.13,USD,49,1115.7,PC,Kenya,8197.95,0
TRANSFER,138.8,1/1/2023 1:58,Merchant,Business,POS,8648.57,KES,17,450.25,Tablet,Australia,8509.77,0
CASH_OUT,684.48,1/1/2023 1:59,Personal,Merchant,Online,7747.97,KES,44,1522.53,PC,UK,7063.49,0
CASH_OUT,4815.94,1/1/2023 2:00,Merchant,Business,Mobile,1771.45,USD,10,1617.32,Mobile,UK,0,0
DEBIT,2752.15,1/1/2023 2:01,Merchant,Merchant,Online,8235.83,GBP,20,1128.3,PC,Germany,5483.68,0
CREDIT,4829.45,1/1/2023 2:02,Personal,Merchant,Online,7715.58,USD,6,1002.69,Mobile,USA,2886.13,0
PAYMENT,2168.16,1/1/2023 2:03,Business,Business,Online,6007.56,EUR,8,272.18,PC,Germany,3839.4,0
TRANSFER,1565.96,1/1/2023 2:04,Merchant,Business,ATM,3438.3,EUR,45,213.71,PC,UK,1872.34,0
DEBIT,2535.65,1/1/2023 2:05,Personal,Merchant,ATM,2698.84,KES,34,712.15,PC,India,163.19,0
CREDIT,2203.16,1/1/2023 2:06,Merchant,Business,POS,1306.7,USD,32,656.15,Tablet,Germany,0,0
DEBIT,537.27,1/1/2023 2:07,Business,Personal,Mobile,5146.59,KES,42,1909.63,Tablet,Canada,4609.32,0
CREDIT,3207.72,1/1/2023 2:08,Personal,Business,Online,5894.08,GBP,4,1578.06,Tablet,UK,2686.36,0
CREDIT,1088.03,1/1/2023 2:09,Personal,Business,Online,3657.46,EUR,44,1336.85,Tablet,UK,2569.43,0
PAYMENT,3101.74,1/1/2023 2:10,Personal,Personal,Online,4806.05,INR,39,1059.41,Tablet,India,1704.31,0
CREDIT,3254.5,1/1/2023 2:11,Business,Business,Online,3698.79,INR,20,376.37,PC,India,444.29,0
DEBIT,768.6,1/1/2023 2:12,Merchant,Business,ATM,6445.96,USD,24,1957.99,Tablet,India,5677.36,0
CREDIT,316.13,1/1/2023 2:13,Personal,Merchant,POS,9022.47,USD,24,781.33,Mobile,USA,8706.34,0
PAYMENT,3906,1/1/2023 2:14,Merchant,Business,Bank Transfer,1722.81,INR,26,258.5,PC,Canada,0,0
PAYMENT,2304.4,1/1/2023 2:15,Merchant,Business,Mobile,3875.95,USD,25,1012.91,PC,UK,1571.55,0
DEBIT,300.24,1/1/2023 2:16,Business,Personal,Online,1494.6,EUR,36,1754.3,Mobile,India,1194.36,0
CASH_OUT,4974.38,1/1/2023 2:17,Personal,Merchant,POS,6286.94,GBP,7,1780.22,Tablet,USA,1312.56,0
CASH_OUT,298.32,1/1/2023 2:18,Merchant,Merchant,Bank Transfer,7315.82,GBP,10,71.38,Mobile,Kenya,7017.5,0
CREDIT,3478.23,1/1/2023 2:19,Personal,Merchant,POS,9325.94,KES,47,1778.28,PC,Canada,5847.71,0
TRANSFER,4918.56,1/1/2023 2:20,Personal,Business,ATM,2860.83,EUR,12,579.39,PC,Australia,0,0
CREDIT,1203.51,1/1/2023 2:21,Business,Merchant,Bank Transfer,9507.09,USD,1,126,PC,Australia,8303.58,0
DEBIT,719.82,1/1/2023 2:22,Personal,Personal,POS,726.3,USD,25,1703.19,Mobile,Kenya,6.48,0
DEBIT,615.71,1/1/2023 2:23,Personal,Merchant,ATM,6069.84,KES,16,1734.54,Tablet,Kenya,5454.13,0
DEBIT,1523.34,1/1/2023 2:24,Merchant,Personal,POS,665.61,KES,5,1212.65,PC,UK,0,0
DEBIT,514.22,1/1/2023 2:25,Business,Merchant,POS,8948.36,USD,19,1170.15,Tablet,USA,8434.14,0
DEBIT,3463.89,1/1/2023 2:26,Personal,Merchant,Bank Transfer,5345.11,USD,4,1635.58,PC,USA,1881.22,0
PAYMENT,320.84,1/1/2023 2:27,Merchant,Personal,ATM,6726.55,EUR,6,1583.3,Tablet,Kenya,6405.71,0
CASH_OUT,2552.02,1/1/2023 2:28,Business,Merchant,Online,8332.58,KES,26,1785.71,Mobile,Canada,5780.56,0
DEBIT,4983.52,1/1/2023 2:29,Business,Merchant,Mobile,1588.08,EUR,49,1127.86,PC,Germany,0,0
TRANSFER,4071.71,1/1/2023 2:30,Merchant,Merchant,Bank Transfer,482.06,USD,39,1936.91,PC,Kenya,0,0
TRANSFER,3079.94,1/1/2023 2:31,Merchant,Business,ATM,8800.92,INR,39,1992.49,PC,UK,5720.98,0
TRANSFER,1538.21,1/1/2023 2:32,Merchant,Personal,POS,3217.84,INR,9,277.26,Mobile,Kenya,1679.63,0
TRANSFER,3123.24,1/1/2023 2:33,Merchant,Merchant,ATM,1376.89,USD,45,1706.61,Mobile,Canada,0,0
PAYMENT,2639.94,1/1/2023 2:34,Merchant,Personal,Mobile,4737.77,KES,14,1024.65,Tablet,Canada,2097.83,0
TRANSFER,2136.16,1/1/2023 2:35,Personal,Personal,Mobile,6023.23,INR,48,805.75,Mobile,Kenya,3887.07,0
DEBIT,662.24,1/1/2023 2:36,Personal,Personal,Online,406.61,KES,9,1245.49,PC,USA,0,0
CREDIT,4434.16,1/1/2023 2:37,Business,Merchant,Online,2821.47,INR,15,159.13,Tablet,Kenya,0,0
TRANSFER,2254.43,1/1/2023 2:38,Personal,Merchant,Mobile,424.72,KES,37,1037.6,Mobile,India,0,0
PAYMENT,981.17,1/1/2023 2:39,Personal,Personal,Bank Transfer,4261.32,INR,20,1748.24,Tablet,India,3280.15,0
PAYMENT,1845.12,1/1/2023 2:40,Personal,Business,Bank Transfer,8961.49,KES,8,466.25,Tablet,Germany,7116.37,0
TRANSFER,2076.51,1/1/2023 2:41,Merchant,Personal,POS,9828.26,EUR,32,881.46,Tablet,UK,7751.75,0
CREDIT,4139.41,1/1/2023 2:42,Business,Business,Online,6406.77,KES,47,1881.99,PC,UK,2267.36,0
TRANSFER,3670.74,1/1/2023 2:43,Business,Personal,POS,1700.21,EUR,21,885.7,PC,Australia,0,0
PAYMENT,3848.83,1/1/2023 2:44,Business,Personal,Online,9067.91,EUR,41,748.82,Mobile,USA,5219.08,0
CASH_OUT,65.05,1/1/2023 2:45,Business,Personal,Mobile,5210.85,USD,19,909.05,PC,UK,5145.8,0
DEBIT,2086.61,1/1/2023 2:46,Personal,Merchant,Bank Transfer,1622.12,EUR,29,1062.93,Tablet,Germany,0,0
PAYMENT,2411.91,1/1/2023 2:47,Personal,Business,Bank Transfer,9225.09,GBP,31,1282.38,Tablet,India,6813.18,0
TRANSFER,105.77,1/1/2023 2:48,Merchant,Business,Mobile,7598.94,EUR,6,1611.35,PC,USA,7493.17,0
DEBIT,1306.47,1/1/2023 2:49,Business,Personal,POS,7343.88,KES,4,931.6,Tablet,Canada,6037.41,0
TRANSFER,3803.85,1/1/2023 2:50,Personal,Merchant,POS,7120.89,EUR,43,1644.09,PC,India,3317.04,0
TRANSFER,694.18,1/1/2023 2:51,Personal,Merchant,ATM,2083.36,KES,29,1090.76,Tablet,Germany,1389.18,1
CASH_OUT,2681.2,1/1/2023 2:52,Merchant,Business,Online,2188.97,KES,42,710.04,Mobile,USA,0,0
DEBIT,1083.86,1/1/2023 2:53,Merchant,Merchant,POS,6914.1,GBP,3,1333,Mobile,Kenya,5830.24,0
DEBIT,70.48,1/1/2023 2:54,Merchant,Business,Mobile,2275.26,EUR,1,1449.56,PC,UK,2204.78,0
CASH_OUT,1213.6,1/1/2023 2:55,Personal,Business,POS,4442.85,EUR,44,1138.2,PC,Germany,3229.25,0
PAYMENT,4879.61,1/1/2023 2:56,Personal,Business,Bank Transfer,7841.82,INR,15,160.4,PC,USA,2962.21,0
TRANSFER,4009.67,1/1/2023 2:57,Merchant,Merchant,Online,7861.13,INR,47,381.27,PC,India,3851.46,0
CREDIT,4798.29,1/1/2023 2:58,Business,Business,ATM,4587.29,USD,21,606.33,PC,USA,0,0
TRANSFER,2444.39,1/1/2023 2:59,Merchant,Business,Online,7942.68,KES,46,601.12,Tablet,Kenya,5498.29,0
TRANSFER,557.58,1/1/2023 3:00,Merchant,Personal,Bank Transfer,8402.36,GBP,31,1363.17,Mobile,Germany,7844.78,0
PAYMENT,2744.32,1/1/2023 3:01,Merchant,Business,Bank Transfer,6582.28,INR,7,85.78,Tablet,USA,3837.96,0
TRANSFER,2277.34,1/1/2023 3:02,Merchant,Business,Bank Transfer,2361.42,EUR,17,1523.58,Mobile,Canada,84.08,0
CASH_OUT,4223.34,1/1/2023 3:03,Personal,Personal,Bank Transfer,2812.72,USD,19,567.42,Tablet,Germany,0,0
CASH_OUT,499.43,1/1/2023 3:04,Business,Personal,Mobile,3216.93,GBP,39,654.54,Tablet,Germany,2717.5,0
DEBIT,2446.32,1/1/2023 3:05,Merchant,Merchant,ATM,1256.36,EUR,3,1079.42,Tablet,India,0,0
CREDIT,758.74,1/1/2023 3:06,Business,Business,Bank Transfer,2804.28,EUR,30,471.05,PC,Australia,2045.54,0
TRANSFER,1630.13,1/1/2023 3:07,Business,Merchant,Bank Transfer,2174.24,KES,35,1774.72,Mobile,UK,544.11,0
TRANSFER,3689.41,1/1/2023 3:08,Business,Merchant,POS,4607.75,KES,29,216.47,PC,Australia,918.34,1
PAYMENT,2385.33,1/1/2023 3:09,Merchant,Personal,ATM,9093.53,INR,14,916.55,PC,Canada,6708.2,0
CASH_OUT,1885.68,1/1/2023 3:10,Personal,Merchant,Online,1134.36,INR,35,1706.37,Tablet,Kenya,0,0
CREDIT,1978.44,1/1/2023 3:11,Merchant,Business,ATM,7230.65,EUR,28,1250.9,Mobile,USA,5252.21,0
DEBIT,2302.64,1/1/2023 3:12,Business,Personal,ATM,6904.1,EUR,30,620.04,Mobile,Australia,4601.46,0
CASH_OUT,3927.23,1/1/2023 3:13,Business,Business,ATM,1047.97,INR,26,870.48,Mobile,UK,0,0
DEBIT,4461.5,1/1/2023 3:14,Personal,Business,Bank Transfer,9233.47,INR,7,1428.05,Mobile,India,4771.97,0
PAYMENT,4777.12,1/1/2023 3:15,Merchant,Personal,Bank Transfer,5727.87,EUR,39,1947.86,PC,UK,950.75,0
PAYMENT,3936.65,1/1/2023 3:16,Business,Business,Mobile,3700.88,GBP,31,1791.62,PC,Germany,0,0
TRANSFER,1583.88,1/1/2023 3:17,Personal,Personal,Online,7589.73,EUR,5,717.74,Mobile,Germany,6005.85,0
CREDIT,3443.79,1/1/2023 3:18,Business,Business,POS,2647.92,GBP,35,1996.49,PC,Kenya,0,0
DEBIT,2193.64,1/1/2023 3:19,Personal,Personal,ATM,6965.75,GBP,47,56.83,Mobile,Canada,4772.11,0
CASH_OUT,1280.81,1/1/2023 3:20,Personal,Merchant,Online,493.14,EUR,14,103.88,PC,USA,0,0
PAYMENT,4205.95,1/1/2023 3:21,Merchant,Business,Online,8410.14,USD,36,1656.49,Tablet,USA,4204.19,0
TRANSFER,201.75,1/1/2023 3:22,Business,Personal,Mobile,4536.89,INR,27,438.95,Tablet,India,4335.14,0
TRANSFER,4509.79,1/1/2023 3:23,Merchant,Business,POS,6403.26,KES,24,168.5,Mobile,Kenya,1893.47,0
DEBIT,2312.77,1/1/2023 3:24,Business,Business,ATM,2290.25,EUR,40,512.44,Mobile,USA,0,1
PAYMENT,3189.64,1/1/2023 3:25,Merchant,Business,POS,6803.03,GBP,29,880.9,PC,Canada,3613.39,0
CREDIT,3300.18,1/1/2023 3:26,Business,Personal,Mobile,7745.18,EUR,45,1474.6,Mobile,Germany,4445,0
PAYMENT,4476.64,1/1/2023 3:27,Merchant,Merchant,Bank Transfer,4784.81,INR,22,1267.45,Mobile,Kenya,308.17,0
DEBIT,3186.98,1/1/2023 3:28,Personal,Merchant,Online,6215.5,GBP,8,513.36,PC,UK,3028.52,0
DEBIT,3073.53,1/1/2023 3:29,Business,Merchant,ATM,4617.63,KES,15,1031.38,Mobile,Australia,1544.1,1
PAYMENT,342.59,1/1/2023 3:30,Business,Personal,Bank Transfer,8951.5,KES,49,1856.12,Mobile,Australia,8608.91,0
DEBIT,2596.86,1/1/2023 3:31,Personal,Merchant,Mobile,5028.9,KES,5,1639.27,Tablet,Kenya,2432.04,0
PAYMENT,759.34,1/1/2023 3:32,Merchant,Personal,POS,8433.91,USD,4,680.22,Tablet,Kenya,7674.57,0
CASH_OUT,3689.79,1/1/2023 3:33,Business,Business,Online,8033.39,GBP,11,1965.42,Tablet,Canada,4343.6,0
PAYMENT,2565.99,1/1/2023 3:34,Business,Business,ATM,4164,GBP,18,1431.81,Mobile,Canada,1598.01,0
PAYMENT,3404.34,1/1/2023 3:35,Merchant,Merchant,Bank Transfer,2377.84,USD,42,171.78,PC,USA,0,0
DEBIT,217.95,1/1/2023 3:36,Personal,Personal,Bank Transfer,4120.21,GBP,49,118.56,Tablet,Australia,3902.26,0
